mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,zcr,centroid,label
-426.9123,96.96414,-37.25252,12.301563,-21.726473,15.069469,-2.2731123,13.230064,3.673969,16.353413,-2.084726,6.586159,-11.697582,0.008137785,0.09595154879385964,4427.566580149966,1
-416.88538,100.93398,-33.418377,2.9076035,-22.99828,12.399227,3.074461,12.995361,11.240443,15.252682,1.4491158,6.5287576,-5.7651825,0.010772001,0.07616126019021739,3987.422018536784,1
-433.64487,98.383125,-32.476513,7.190087,-23.532995,11.4801035,-1.0169764,13.153465,7.3767133,16.436447,-2.0198648,6.306056,-8.237937,0.00888602,0.08929009218096234,4340.176929818654,1
-425.7159,106.57159,-29.1942,1.3771112,-18.515598,10.977018,3.1429455,11.595345,6.621389,9.112956,1.9739157,4.2800345,-6.3966556,0.010414597,0.07861770675981873,3810.1617999853725,1
-412.4816,104.91831,-32.964123,6.2300577,-24.164986,10.963006,-1.3657023,14.303101,7.1089187,15.187927,-2.2752051,6.1236367,-6.237766,0.010500963,0.08296712239583333,4121.7641194988755,1
-377.54453,98.57243,-43.919876,3.5419636,-30.354849,14.456829,2.0336428,13.420208,8.462329,16.076847,1.1729554,5.4336314,-8.8614645,0.013749214,0.08843524639423077,4196.09146984715,1
-417.12338,121.45045,-25.52639,9.214755,-13.730062,13.475699,5.6835155,12.1430645,8.430788,14.1104,0.52297676,3.8856947,-5.3904834,0.010697945,0.061487092940938515,3370.5484203952424,1
-431.10614,104.859695,-28.467878,-0.19220494,-19.908443,12.690103,1.8973875,10.230809,7.6993814,9.315336,-0.61916035,3.877331,-6.260076,0.010964501,0.08235212053571428,3920.3337574721545,1
-395.479,95.63206,-41.840416,3.2355127,-24.761854,12.624982,0.50808954,10.394583,9.986428,14.126907,0.019646283,6.417877,-9.769006,0.012906231,0.09105620513091216,4188.607116266208,1
-388.8157,85.925835,-48.47237,14.919941,-29.50472,6.52779,-5.9221296,19.412344,10.780868,13.755126,-1.1918297,8.795377,-11.1662245,0.011598828,0.10656585054916318,4654.795111447132,1
-466.14044,98.93763,-22.816015,13.626153,-10.495399,5.624173,-0.28186184,13.699033,6.8558726,5.6650414,-1.053368,3.087998,-9.389189,0.007795549,0.0826333636886503,4208.962336791853,1
-440.34793,99.05212,-15.869976,-2.674338,-21.569557,11.374869,2.4211745,11.586605,8.138565,11.426662,-2.6365123,1.8616563,-7.5799093,0.012362382,0.07579349628215434,3929.3225922965416,2
-376.7872,103.9252,-30.577965,7.8757057,-17.258118,6.2210264,0.61998725,16.012173,5.5491686,9.812702,1.95767,1.9923044,-7.6155524,0.019059945,0.07074508376901141,3607.2686029518522,2
-401.3497,99.2077,-32.33521,1.3123109,-20.240007,5.2320676,-1.8414472,12.990974,5.1210628,11.561481,1.6109477,2.42667,-5.1907783,0.015728654,0.07833722681781045,3823.4395995321765,2
-435.05832,105.0602,-28.87046,-2.298544,-17.650463,5.212822,-0.012501229,12.958919,5.6714864,7.504909,0.8693287,2.341994,-5.46253,0.012853045,0.07763225276295732,3717.720637796276,2
-399.54745,98.315636,-31.142176,1.6525491,-21.423065,7.197115,-1.7100389,13.108391,4.3420134,8.954261,1.5532411,3.68498,-5.0258675,0.015036929,0.08033915585691824,3912.4724478367452,2
-440.91898,101.10151,-26.209162,-0.123055816,-17.483742,6.0924115,2.1279747,10.096426,4.8937325,9.703867,1.4674828,2.4494054,-3.7517478,0.010547441,0.08372891659768211,3925.6058732368615,2
-415.19257,91.48497,-27.531275,-1.3875877,-22.689013,5.257298,-2.352504,11.446916,1.5598941,10.033177,2.1270125,1.9862294,-4.555091,0.014340198,0.08612898284313726,4149.196324815021,2
-429.8094,88.83842,-12.760772,-1.7732214,-21.221666,4.9044294,2.5086396,11.089966,5.2257853,9.062247,4.1044993,2.1386328,-3.5311747,0.011907417,0.07754820855362538,3926.222700913196,2
-418.90393,89.57054,-22.944199,-5.1972876,-28.712584,1.4724128,1.4199841,12.27472,7.446495,12.32941,1.6799502,-0.5623686,-6.5916166,0.014789528,0.07825086131599379,3908.446279920753,2
-420.87735,87.08175,-25.508287,-1.4850892,-25.148897,3.8010283,-1.4832419,9.019432,2.8160803,10.238499,2.4540262,1.598045,-3.385722,0.01677812,0.07855366551598837,4026.23317144348,2
-430.5357,89.23677,-25.118614,-0.40508172,-22.969297,3.6992462,-1.4204139,12.683355,3.482777,9.8856735,1.1185828,2.026667,-5.814053,0.013671819,0.0864287768404908,4121.298698696038,2
-385.87982,95.141556,-32.68075,-1.221811,-28.572897,9.91466,-0.17336585,12.333834,11.6781845,14.924139,-2.075144,4.1240177,-8.0150795,0.017826537,0.08245322145061729,4033.91707913464,2
