rms,zcr,centroid,rolloff,bandwidth,flatness,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spec_mean_1,spec_mean_2,spec_mean_3,spec_mean_4,spec_mean_5,spec_mean_6,spec_mean_7,spec_mean_8,spec_mean_9,spec_mean_10,label
0.010272047,0.17594275841346155,3512.854912513115,6537.5632887620195,2600.8523287559196,0.16622165,0.698564,0.6118283,0.47302312,0.38662973,0.36316442,0.37520632,0.35160267,0.40111488,0.5166691,0.72455233,0.8141601,0.73833245,0.0302205,0.062216986,0.077108376,0.0820453,0.10322379,0.1333925,0.17937617,0.21320784,0.14575413,0.16410166,1
0.007437443,0.14273963341346155,3128.3838560287168,6053.9772385817305,2591.288913684869,0.109141245,0.65521926,0.56842786,0.48250952,0.47539374,0.47612956,0.492966,0.44598377,0.5162983,0.63081396,0.75498116,0.80738825,0.68519205,0.027516933,0.06459537,0.08662776,0.08070754,0.101350315,0.13778688,0.21108559,0.3115457,0.21607587,0.20768948,1
0.0098802345,0.14843374399038461,3280.0443303150664,6286.038912259615,2631.7226002459956,0.11617196,0.71446735,0.6434284,0.50397325,0.482158,0.48389944,0.48133746,0.45163643,0.4896721,0.53870237,0.61690813,0.6834505,0.6942742,0.044516444,0.0993283,0.13673486,0.116079815,0.107188486,0.09580907,0.1651761,0.33216912,0.39870563,0.23097233,1
0.012578561,0.15672701322115384,3212.6486853303268,6123.0491286057695,2601.0998177780284,0.11006812,0.8056603,0.7140754,0.5646683,0.4721646,0.41164598,0.39231643,0.40889058,0.40378425,0.45388398,0.5599906,0.6148105,0.7053073,0.05144535,0.10086688,0.11691269,0.12655693,0.14176185,0.14608984,0.18013251,0.23285018,0.17628866,0.286292,1
0.011876886,0.1571063701923077,3371.5456525098175,6501.205303485577,2716.3256253250715,0.118498676,0.75005966,0.64558405,0.47368854,0.42859733,0.4286386,0.43247613,0.41434684,0.45858237,0.5376464,0.6774442,0.71043086,0.72499096,0.061972436,0.14362141,0.18239924,0.17013068,0.15931621,0.15128972,0.14511438,0.15997393,0.21559997,0.24499653,1
0.009618468,0.12384314903846154,2852.889249435233,5695.780686598558,2591.125576102222,0.07876139,0.63324445,0.5418825,0.53497636,0.49524224,0.43948632,0.4077464,0.432987,0.51646,0.6894136,0.7799511,0.7026309,0.71361303,0.026377749,0.049491897,0.07518295,0.08654569,0.124427944,0.24277683,0.28621203,0.2521342,0.17750046,0.14309117,1
0.009256608,0.14883939302884616,3106.0213774180593,6055.13671875,2654.266463676042,0.0945467,0.7649901,0.6654471,0.50542945,0.423104,0.4698103,0.48066968,0.42495564,0.43960333,0.49572226,0.5456357,0.62820625,0.7415313,0.043134112,0.12604453,0.22621077,0.2551887,0.2160615,0.15769222,0.13649109,0.1665444,0.14745064,0.12655185,1
0.013589473,0.16653771033653847,3344.73111349296,6437.847994290865,2699.4184708216935,0.11210393,0.8436648,0.6966885,0.48956856,0.38451824,0.38372716,0.3563873,0.3492963,0.36078098,0.4144033,0.48882973,0.6051463,0.7364608,0.09093391,0.1912388,0.2210061,0.17530306,0.12956275,0.118892275,0.13040055,0.16817588,0.13473254,0.13497464,1
0.009188495,0.16407001201923077,3318.217175808797,6476.11083984375,2730.1465717898295,0.11344192,0.66462433,0.47650492,0.42718074,0.4220629,0.41883782,0.41322446,0.43312192,0.49250346,0.5575818,0.63594085,0.76246476,0.81200916,0.06641312,0.13420933,0.14360353,0.11466516,0.12014664,0.1263698,0.11934369,0.121578544,0.11804319,0.112490684,1
0.007680739,0.11818659855769231,2514.9063114742426,4852.093224158654,2410.2017581006403,0.060270585,0.5432369,0.497559,0.42641962,0.43692303,0.49165478,0.6100774,0.55148476,0.44005004,0.48124912,0.6095377,0.6629748,0.6409458,0.03794517,0.072523005,0.079694964,0.06934668,0.10267191,0.12304681,0.118864976,0.15606257,0.16419995,0.2239174,1
