mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,zcr,centroid,num_onsets,mean_interval,label
-259.07327,19.480753,-36.762512,36.274975,-25.917236,24.70892,-9.622541,18.460896,-10.870639,17.430883,-30.704767,16.869461,-4.7920675,0.023683215,0.3216848273026316,4058.827629889367,11,0.18808163265306124,1
-302.09232,17.176804,-33.86157,28.459293,-21.661749,22.71166,-8.985667,14.159395,-10.255002,15.799865,-26.838549,14.910578,-4.8116426,0.023526536,0.2928762335526316,3679.486049042251,12,0.15831787260358687,1
-397.69025,13.557432,-26.142727,29.350948,-19.096678,14.156271,-5.681715,12.359063,-10.989353,11.196135,-22.490114,12.316203,-2.9599936,0.018069709,0.2373560855263158,3054.164979533552,11,0.15557369614512473,1
-230.34471,13.063758,-36.626892,29.653173,-28.939629,22.538294,-7.3024287,23.377886,-14.222951,18.766537,-27.162151,13.003159,-4.192225,0.026846599,0.34989206414473684,4260.5403946575725,11,0.19040362811791384,1
-237.45657,20.416777,-38.803093,30.678757,-31.61326,21.364054,-7.161098,21.794657,-12.281406,19.077585,-26.997936,14.670951,-4.8700647,0.02641815,0.33466796875,4054.5148567423066,14,0.15718123146694576,1
-302.0558,37.098858,-32.608536,29.103624,-24.152853,24.927574,-9.170612,15.404983,-11.337575,18.553484,-26.597925,12.634909,-2.551826,0.020233072,0.2632658305921053,3593.3784286088066,11,0.17647165532879822,1
-286.37384,24.810585,-31.748499,29.777113,-25.685259,25.416044,-8.841179,18.638855,-11.975237,17.809883,-25.910393,14.109413,-3.1194108,0.02119819,0.30341282894736843,3869.7217541113014,12,0.17942692228406518,1
-263.39386,26.124184,-33.398285,27.709002,-31.770657,23.155602,-5.812432,19.217543,-11.518895,18.142307,-29.025455,12.954712,-4.5667977,0.022259103,0.2975071957236842,3985.304261192436,15,0.14263686426951735,1
-281.54532,37.94345,-27.37464,29.8792,-22.924818,23.666132,-8.371573,19.54648,-11.844256,17.031603,-27.071846,12.376269,-5.4939237,0.021315878,0.2782483552631579,3714.8892061198153,13,0.17221466364323504,1
-236.167,22.69304,-32.7747,32.445362,-27.961912,25.54689,-6.726812,23.422838,-10.463071,19.869247,-27.908194,15.558298,-5.054003,0.025160689,0.3053505345394737,4086.640260663312,14,0.1536089307517879,1
-251.8277,31.727917,-31.929811,31.851393,-23.514803,30.414719,-2.286485,22.057808,-12.117502,19.158556,-26.355774,14.184939,-5.7355833,0.024092456,0.27540604440789473,3846.755069321286,9,0.18866213151927438,1
