mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,zcr,centroid,bandwidth,rolloff,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,mel_13,mel_14,mel_15,mel_16,mel_17,mel_18,mel_19,mel_20,label
-328.83707,47.46069,-24.025787,34.056145,-20.679504,22.621338,-7.2627497,16.306084,-10.761629,15.80404,-25.977497,12.879584,-4.498052,0.01793618,0.2508413461538462,3405.064313468616,2262.470912658278,6050.830078125,0.7825465,0.7371526,0.5117923,0.35421225,0.34168175,0.34019995,0.3296209,0.41444117,0.4586333,0.4438091,0.5286843,0.70034665,0.03527300911509613,-0.02532758768757607,-0.02846131665775459,0.0326503196014802,0.022978110246645644,-0.023218965036078107,0.013834591,0.015791722,0.037228223,0.052802294,0.04282657,0.027757324,0.026248762,0.023689542,0.014951462,0.016804993,0.014419783,0.010834288,0.011830669,0.009460279,0.00892139,0.009195317,0.0077097947,0.0061232285,0.007987213,0.0073269284,1
-357.9336,44.598175,-22.209738,29.236502,-17.621027,20.962297,-7.9349213,13.390806,-11.238738,14.337817,-23.152538,12.300164,-4.1436677,0.018007476,0.23062274639423078,3140.2556721961055,2116.2926968190327,5602.028432992788,0.67574614,0.60402745,0.43535677,0.29367906,0.28612924,0.30717945,0.36081454,0.43098447,0.44950616,0.46224782,0.49933103,0.58503,0.02183457743925934,-0.03967069068646428,-0.017981413565576566,-0.007780406158417964,0.02855831027862699,-0.0041101393057032636,0.013374967,0.015589362,0.040868107,0.05688932,0.044876307,0.029311081,0.03916825,0.031463504,0.014946148,0.016189061,0.018997703,0.01276772,0.00865604,0.00922731,0.010536179,0.010068248,0.008439011,0.010188163,0.012412433,0.011676417,1
-390.77444,28.930141,-24.481594,29.612673,-19.56667,15.94351,-7.2660604,12.795673,-10.783506,11.025729,-22.866327,11.495878,-3.389229,0.016977537,0.2206317608173077,3002.048816986633,1868.147550032281,5233.7278395432695,0.6205101,0.5402558,0.46260107,0.31255338,0.27823874,0.2307328,0.23184572,0.3382365,0.41300642,0.42628106,0.5048265,0.6398346,-0.02104715465160158,-0.04190515584887665,0.06000476771822283,0.008673000822846295,0.0008078596074446403,-0.006912212406929827,0.012741715,0.015786652,0.035762396,0.028805517,0.025869256,0.036976654,0.019563735,0.019594487,0.019016968,0.019100938,0.012684932,0.0089987125,0.011622295,0.010681761,0.010015955,0.009961049,0.010450662,0.00732627,0.0063563357,0.0063356557,1
-293.20895,39.508953,-26.405514,27.653242,-26.052631,22.428993,-5.571297,22.419739,-13.483578,17.217607,-25.092382,10.230551,-4.8364854,0.020458773,0.2767164963942308,3672.6281337774094,2314.8328531483994,6376.312725360577,0.7315879,0.64154536,0.42417166,0.27937064,0.2675171,0.26024967,0.2904411,0.4239674,0.5154559,0.5767147,0.6520935,0.77465713,0.0025144243908715364,-0.06797272035560652,-0.04924707621909155,0.013669280564555283,0.03358953592298777,-0.03428604963880316,0.0072064823,0.009914139,0.032766197,0.045838553,0.059708443,0.041050367,0.032064892,0.029196499,0.019489624,0.01464874,0.012685216,0.01187794,0.013273941,0.0091251135,0.009876813,0.012501722,0.011755246,0.008117307,0.008391641,0.010619833,1
-300.11838,46.294346,-23.467682,29.326246,-23.737175,18.889578,-4.9351516,16.369503,-10.320746,16.443005,-22.891155,10.624141,-4.3104205,0.021795021,0.2585261418269231,3415.5386550395715,2281.609016028673,6075.841721754808,0.763722,0.6403878,0.4916212,0.34425947,0.32835358,0.35079503,0.33669809,0.44986814,0.54355186,0.5650249,0.5825985,0.7121647,0.035178942122395224,-0.015844058546789292,-0.022154988348484568,0.022807066687024032,0.014858338331473646,-0.030248428408343037,0.4778624,0.5054783,0.61205876,0.6604937,0.56743187,0.4352144,0.33872974,0.2723999,0.21350315,0.19407915,0.1543646,0.12803227,0.11317298,0.093725905,0.09008859,0.07752612,0.06434537,0.045559328,0.039060093,0.038350623,1
-349.17743,54.802395,-25.689299,30.89193,-19.0696,22.757574,-8.751936,14.35016,-11.110716,16.744148,-24.1148,10.976742,-2.8577702,0.016229631,0.21944861778846153,3206.83911124017,2242.368044364155,5793.259840745192,0.734122,0.63839275,0.43520457,0.30784944,0.31280464,0.324893,0.39850697,0.47939613,0.505993,0.5439769,0.6745985,0.7574373,0.0343333393930588,-0.0655791201323836,0.00048781005808883635,0.022042015682045796,0.027353647925367378,-0.018450184417172093,0.009080648,0.01195914,0.040749833,0.046808124,0.04626801,0.028852679,0.026588378,0.02325894,0.018901868,0.014495359,0.012449721,0.011413907,0.010856082,0.0089234,0.009465447,0.011916445,0.011861018,0.01180915,0.018418325,0.018137963,1
-347.01532,48.565006,-21.38148,30.585724,-20.323862,22.305838,-7.5999417,16.823112,-11.372756,15.726946,-22.374054,12.026908,-4.049969,0.016608143,0.24373873197115384,3322.820752479369,2257.492610281873,5932.3146409254805,0.7000918,0.645233,0.4617838,0.3604204,0.34992465,0.3521353,0.42961502,0.5188096,0.5631288,0.57006437,0.6580695,0.7330521,0.015609654781310923,-0.07382102918367933,-0.020724530561039595,0.03208092124416233,0.05415911629234537,-0.01863283695509797,0.043027505,0.0402769,0.075825036,0.09437855,0.1080927,0.07129439,0.04712856,0.044849988,0.032929856,0.027696604,0.02276032,0.016028738,0.018922606,0.015228854,0.017303463,0.015188582,0.0132769,0.009484938,0.011507653,0.011527904,1
-329.55933,52.823975,-21.849651,27.938515,-24.003233,22.016869,-4.524616,16.327776,-10.916659,15.969647,-24.617683,10.317717,-5.0799127,0.016939046,0.23006685697115384,3339.5434618245245,2265.589232559125,5932.4802809495195,0.709938,0.605775,0.40871158,0.26536044,0.23102248,0.2471969,0.3269199,0.4762646,0.48276412,0.45738423,0.55624646,0.68271226,0.021548333135904277,-0.040698271796019266,0.005511160022936797,0.014759536832570589,0.04719395369179898,-0.021902688270291404,0.0038730814,0.0067001837,0.028713144,0.027180806,0.02817203,0.01772344,0.025051234,0.024925984,0.013549175,0.012273172,0.010160641,0.0076660267,0.007412464,0.0059819524,0.007599243,0.006358549,0.005387416,0.0056173955,0.0053111287,0.0056578564,1
-323.77603,58.13785,-15.955522,26.69332,-17.148283,18.986523,-6.0695887,14.660019,-9.654874,14.168204,-22.600159,9.710499,-3.4330976,0.0188534,0.22610426682692308,3187.1259726169965,2282.0606348692877,5753.174954927885,0.7833947,0.67793834,0.4796302,0.35872483,0.3568142,0.311259,0.33968157,0.42391402,0.4871934,0.51812327,0.66679615,0.81072795,-0.003952704155139253,-0.06443256402992387,0.0023356746595634727,-0.023521564685954947,0.038357794803163744,-0.03387506291485172,0.50519156,0.5354221,0.6372774,0.7046602,0.6370723,0.46855006,0.3496211,0.2841717,0.21892561,0.20331123,0.15975492,0.13510257,0.118538,0.10048622,0.09581489,0.08345506,0.07062648,0.04981049,0.043735653,0.03921759,1
-288.73703,40.04465,-25.456818,32.292606,-23.117085,23.05678,-6.124463,21.318193,-10.360536,18.182102,-25.254894,13.108633,-5.4070473,0.021682171,0.25931865985576924,3632.2770021594774,2330.9429284086245,6361.98486328125,0.794101,0.6824821,0.46079847,0.30280533,0.28915247,0.23884146,0.2727116,0.38772002,0.4893333,0.55700415,0.6413171,0.7714359,-0.020434887906045345,-0.018824168861595828,-0.06161769379216933,0.0937168311327694,0.028159040653034918,0.007019381153468944,0.01762645,0.02124768,0.0478254,0.08769609,0.19349839,0.09672052,0.040748917,0.036142603,0.0269487,0.020506004,0.018776665,0.015200446,0.015114899,0.009536573,0.0109235635,0.0097135,0.00918276,0.007535645,0.011210229,0.0076739397,1
