mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spec_mean_1,spec_mean_2,spec_mean_3,spec_mean_4,spec_mean_5,spec_mean_6,spec_mean_7,spec_mean_8,spec_mean_9,spec_mean_10,rolloff,bandwidth,flatness,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,energy,label
-259.07327,19.480753,-36.762512,36.274975,-25.917236,24.70892,-9.622541,18.460896,-10.870639,17.430883,-30.704767,16.869461,-4.7920675,-14.289273,-18.287958,-34.618137,-30.33686,-24.448132,-19.227203,-16.786005,-7.5396657,-5.047821,-9.963136,6863.3118318256575,2291.8975239408464,0.078532875,0.8243991,0.6652014,0.42757106,0.2939425,0.27725673,42.25749,1
-302.09232,17.176804,-33.86157,28.459293,-21.661749,22.71166,-8.985667,14.159395,-10.255002,15.799865,-26.838549,14.910578,-4.8116426,-20.975819,-22.915075,-34.949898,-31.440228,-27.413036,-22.265291,-19.320993,-13.08569,-10.615952,-12.701057,6169.9426912006575,2068.726910814193,0.17948164,0.77391535,0.69455284,0.46278286,0.27891898,0.23491837,44.103966,1
-397.69025,13.557432,-26.142727,29.350948,-19.096678,14.156271,-5.681715,12.359063,-10.989353,11.196135,-22.490114,12.316203,-2.9599936,-26.831476,-29.283834,-40.14137,-39.45406,-34.800312,-30.26368,-24.792362,-20.532732,-20.930466,-24.352427,5129.8889802631575,1719.506405707679,0.3142781,0.5340885,0.44719255,0.34334484,0.24932328,0.22048351,32.404045,1
-230.34471,13.063758,-36.626892,29.653173,-28.939629,22.538294,-7.3024287,23.377886,-14.222951,18.766537,-27.162151,13.003159,-4.192225,-15.0061245,-18.104986,-30.786297,-26.594458,-22.950415,-18.036253,-14.609083,-7.5923185,-5.168159,-10.0242,7004.9776418585525,2322.1449216577935,0.09429168,0.7435479,0.55139095,0.3625412,0.26088995,0.25844505,49.559845,1
-237.45657,20.416777,-38.803093,30.678757,-31.61326,21.364054,-7.161098,21.794657,-12.281406,19.077585,-26.997936,14.670951,-4.8700647,-16.867619,-19.305288,-35.18572,-29.338364,-24.69955,-18.912437,-14.705471,-6.726204,-3.5038683,-7.9139686,6859.7985197368425,2315.992017334606,0.081803806,0.8775193,0.66166234,0.44252396,0.29087797,0.29239595,51.25049,1
-302.0558,37.098858,-32.608536,29.103624,-24.152853,24.927574,-9.170612,15.404983,-11.337575,18.553484,-26.597925,12.634909,-2.551826,-17.21266,-20.531754,-35.663815,-32.036964,-25.474718,-19.303827,-15.849595,-8.769702,-6.728266,-11.029189,6243.495579769737,2252.518023256536,0.100413375,0.76297975,0.6471842,0.41653743,0.26923183,0.25557122,34.05955,1
-286.37384,24.810585,-31.748499,29.777113,-25.685259,25.416044,-8.841179,18.638855,-11.975237,17.809883,-25.910393,14.109413,-3.1194108,-16.035807,-20.062407,-35.161022,-29.443132,-26.230188,-19.242123,-16.329103,-8.105869,-6.675518,-11.525843,6577.826891447368,2279.88762240241,0.11345887,0.7495386,0.6002753,0.4342888,0.3387689,0.308298,37.415047,1
-263.39386,26.124184,-33.398285,27.709002,-31.770657,23.155602,-5.812432,19.217543,-11.518895,18.142307,-29.025455,12.954712,-4.5667977,-16.44813,-19.591661,-36.380383,-31.383228,-27.137583,-19.621155,-14.611477,-6.4662323,-5.2225614,-11.059622,6760.632452713816,2310.5231493648675,0.07793978,0.7994858,0.5900357,0.37336513,0.24211381,0.2095834,39.412403,1
-281.54532,37.94345,-27.37464,29.8792,-22.924818,23.666132,-8.371573,19.54648,-11.844256,17.031603,-27.071846,12.376269,-5.4939237,-15.3843,-19.06589,-33.474384,-29.07604,-24.292953,-15.127508,-13.120545,-7.71047,-5.950852,-9.297582,6525.580540707237,2359.205605231778,0.07775558,0.82134616,0.69095504,0.5014096,0.36840335,0.32774177,38.87879,1
-236.167,22.69304,-32.7747,32.445362,-27.961912,25.54689,-6.726812,23.422838,-10.463071,19.869247,-27.908194,15.558298,-5.054003,-15.802922,-18.386793,-27.203238,-21.880377,-20.490833,-15.213711,-14.052314,-8.362504,-4.7864814,-5.294349,6942.871350740132,2375.3942592897265,0.08252611,0.85253924,0.7253557,0.5174268,0.29314613,0.25254038,43.964485,1
-251.8277,31.727917,-31.929811,31.851393,-23.514803,30.414719,-2.286485,22.057808,-12.117502,19.158556,-26.355774,14.184939,-5.7355833,-14.7149725,-18.980995,-28.765856,-23.979223,-22.58664,-13.084542,-8.515584,-4.137354,-1.922059,-4.465338,6638.4598581414475,2352.9583118741275,0.07480197,0.83012664,0.67115337,0.48035532,0.27389738,0.24419416,42.150883,1
-308.63644,43.992897,-23.879934,28.2363,-24.536182,21.50722,-3.3913975,22.124601,-10.998128,17.177576,-24.337866,12.576406,-3.4005764,-17.795612,-21.45313,-32.418465,-30.163715,-25.041313,-18.83029,-14.663826,-8.152981,-5.495591,-7.0503926,6138.776212993421,2315.3642790681406,0.09844378,0.75615156,0.6406383,0.41511488,0.29768884,0.3087328,33.364746,1
-246.38123,22.523735,-38.715816,27.968119,-29.700508,25.952112,-3.7852783,20.986197,-13.253676,16.873909,-29.175318,15.414433,-5.100297,-15.470959,-19.332012,-32.835835,-29.173067,-23.996069,-18.424866,-16.07749,-9.297612,-6.4435678,-9.292344,6806.985505756579,2326.8308975687373,0.08161806,0.7951657,0.6018752,0.36913285,0.24758512,0.24192314,42.427658,1
-260.53366,28.136862,-30.238379,33.63873,-22.574432,24.671936,-9.247154,18.056055,-9.574647,15.937271,-26.864311,14.8506565,-4.2350087,-14.521144,-18.062672,-32.182552,-27.277655,-22.175272,-16.710688,-11.364945,-4.5605283,-2.9587274,-7.9884896,6625.313270970395,2311.979378001692,0.078733064,0.8140028,0.7150008,0.47713616,0.30521038,0.27049783,47.01834,1
